CELL_LINE_NAME,COSMIC_ID,PRIMARY_SITE,HISTOLOGY
NOMO-1,908451,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm
OCUM-1,1298358,stomach,carcinoma
SW13,909744,adrenal_gland,adrenal_cortical_carcinoma
NCI-H2342,687819,lung,carcinoma
NCI-H630,908482,large_intestine,carcinoma
NCI-H596,908459,lung,carcinoma
NCI-H82,688031,lung,carcinoma
NB12,949172,autonomic_ganglia,neuroblastoma
NH-12,908447,autonomic_ganglia,neuroblastoma
NB5,949176,autonomic_ganglia,neuroblastoma
SW48,909751,large_intestine,carcinoma
SU-DHL-4,1331035,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
SF268,905986,central_nervous_system,glioma
NCI-H23,905942,lung,carcinoma
NCI-H522,905944,lung,carcinoma
NCI-H647,1240191,lung,carcinoma
NB69,908440,autonomic_ganglia,neuroblastoma
SCC-4,910904,upper_aerodigestive_tract,carcinoma
NCI-H1975,924244,lung,carcinoma
SW982,909759,soft_tissue,synovial_sarcoma
SF126,909712,central_nervous_system,glioma
NB(TU)1-10,1240181,autonomic_ganglia,neuroblastoma
NCI-H2141,688014,lung,carcinoma
CCF-STTG1,906823,central_nervous_system,glioma
COR-L321,1322213,NS,NS
SK-MEL-2,905955,skin,malignant_melanoma
OVCA420,1480364,ovary,carcinoma
BL-41,910706,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
KARPAS-299,907273,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
NCI-H2172,1298353,lung,carcinoma
LK-2,687787,lung,carcinoma
SW756,724839,cervix,carcinoma
NUGC-4,1298357,stomach,carcinoma
ROS-50,1331025,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
KYAE-1,1503368,oesophagus,carcinoma
MOLP-8,1330950,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
NCI-H847,1240193,lung,carcinoma
LP-1,907791,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
NCI-H524,908483,lung,carcinoma
NEC8,910942,testis,germ_cell_tumour
CHSA8926,1303912,bone,chondrosarcoma
RPMI-8402,909702,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
NCI-H2110,1298351,lung,carcinoma
LB2518-MEL,753579,skin,malignant_melanoma
SUP-HD1,1331039,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
SK-CO-1,909718,large_intestine,carcinoma
EJM,1297447,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
NCI-H1836,1240182,lung,carcinoma
HCC1143,749710,breast,carcinoma
MOG-G-CCM,908144,central_nervous_system,glioma
BICR10,1290724,upper_aerodigestive_tract,carcinoma
NCI-H1435,1298347,lung,carcinoma
NCI-H1417,688001,lung,carcinoma
COR-L279,910937,lung,carcinoma
MLMA,908142,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
LB373-MEL-D,753581,skin,malignant_melanoma
MDA-MB-468,908123,breast,carcinoma
SU-DHL-6,1331037,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
RERF-LC-KJ,1298537,lung,carcinoma
COR-L95,1297439,lung,carcinoma
MDA-MB-415,924240,breast,carcinoma
MDA-MB-330,1330941,breast,carcinoma
MC-CAR,683665,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
TGW,910780,autonomic_ganglia,neuroblastoma
NCI-H1436,908469,lung,carcinoma
CADO-ES1,753539,bone,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
YT,946358,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
SK-GT-4,1503365,oesophagus,carcinoma
SNU-61,1660035,large_intestine,carcinoma
ALL-SIL,1295740,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
FTC-133,906864,thyroid,carcinoma
RCC10RGB,909974,kidney,carcinoma
MKN45,925340,stomach,carcinoma
SF295,905985,central_nervous_system,glioma
CS1,1290795,bone,other
A3-KAW,910935,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
KMOE-2,907280,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm
MHH-NB-11,908135,autonomic_ganglia,neuroblastoma
SUP-M2,1331040,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
PCI-4B,1298531,upper_aerodigestive_tract,carcinoma
A704,910920,kidney,carcinoma
SNU-C5,1674021,large_intestine,carcinoma
SK-N-DZ,688086,autonomic_ganglia,neuroblastoma
RCC-FG2,1524414,kidney,carcinoma
CHP-126,910567,autonomic_ganglia,neuroblastoma
PC-3,905934,prostate,carcinoma
SU-DHL-5,1331036,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
SK-N-AS,724828,autonomic_ganglia,neuroblastoma
8-MG-BA,687562,central_nervous_system,glioma
CAL-12T,753540,lung,carcinoma
PANC-02-03,1298475,pancreas,carcinoma
SNU-81,1660036,large_intestine,carcinoma
ME-1,1330942,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm
HSC-39,1322224,stomach,carcinoma
P31-FUJ,909253,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm
SNU-407,1660034,large_intestine,carcinoma
SIMA,753620,autonomic_ganglia,neuroblastoma
AGS,906790,stomach,carcinoma
KARPAS-45,907272,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
PA-TU-8902,1298526,pancreas,carcinoma
ES6,949157,bone,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
SNU-C1,910905,large_intestine,carcinoma
NB1,949179,autonomic_ganglia,neuroblastoma
KG-1,907278,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm
K-562,905940,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm
NCI-H292,753604,lung,carcinoma
PANC-04-03,1298476,pancreas,carcinoma
C-4-I,687506,cervix,carcinoma
ESS-1,907000,endometrium,carcinoma
TC-71,1240221,bone,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
HCC1395,749712,breast,carcinoma
HSC-2,753562,upper_aerodigestive_tract,carcinoma
LB996-RCC,753585,kidney,carcinoma
SNG-M,909735,endometrium,carcinoma
NB6,949173,autonomic_ganglia,neuroblastoma
JVM-2,907269,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
TK,1331045,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
DBTRG-05MG,906835,central_nervous_system,glioma
KP-N-YN,907314,autonomic_ganglia,neuroblastoma
NCI-H1770,687804,lung,carcinoma
NCI-H446,688023,lung,carcinoma
TK10,905980,kidney,carcinoma
L-428,907322,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
CW-2,910554,large_intestine,carcinoma
GDM-1,906870,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm
KYSE-220,1240167,oesophagus,carcinoma
MDA-MB-436,1240172,breast,carcinoma
OCI-AML3,1290455,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm
HCC38,749717,breast,carcinoma
NCI-H2087,724834,lung,carcinoma
D-423MG,946372,central_nervous_system,glioma
8505C,924102,thyroid,carcinoma
JM1,1327768,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
M059J,949094,central_nervous_system,glioma
CAL-62,906828,thyroid,carcinoma
SW626,909753,ovary,carcinoma
DMS-273,687985,lung,carcinoma
MSTO-211H,908152,pleura,mesothelioma
SU-DHL-16,1331034,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
GRANTA-519,1303897,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
TGBC1TKB,909769,biliary_tract,carcinoma
NOS-1,925345,bone,osteosarcoma
SJSA-1,909717,bone,other
MN-60,908143,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
KM12,905989,large_intestine,carcinoma
22RV1,924100,prostate,carcinoma
LB771-HNC,753583,upper_aerodigestive_tract,carcinoma
CP50-MEL-B,753545,skin,malignant_melanoma
NCI-H720,687600,lung,carcinoma
VMRC-RCZ,909781,kidney,carcinoma
NCI-H345,688021,lung,carcinoma
LB1047-RCC,753577,kidney,carcinoma
KU-19-19,907312,urinary_tract,carcinoma
OV-56,1480362,ovary,carcinoma
OVTOKO,1298365,ovary,carcinoma
NCI-H1876,1330972,lung,carcinoma
U-2-OS,909776,bone,osteosarcoma
NCI-H2122,722046,lung,carcinoma
MFE-296,908130,endometrium,carcinoma
K5,924238,thyroid,carcinoma
NCI-H226,905941,lung,carcinoma
SU8686,1240218,pancreas,carcinoma
SW1271,1299062,lung,carcinoma
NCI-H716,908458,large_intestine,carcinoma
LB831-BLC,753584,urinary_tract,carcinoma
HC-1,907044,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
MOG-G-UVW,908145,central_nervous_system,glioma
PEO1,1480372,ovary,carcinoma
PL4,1298533,pancreas,carcinoma
TT,930299,thyroid,carcinoma
